First handshake timeout try 1 time  Times passed 1000ms
First handshake Succeed! 
Acknowledge Second Handshake
Third handshake Succeed! 
Acknowledge package seqnum 55065
Acknowledge package seqnum 63065
Acknowledge package seqnum 71065
Acknowledge package seqnum 79065
Acknowledge package seqnum 87065
Acknowledge package seqnum 95065
Acknowledge package seqnum 103065
Acknowledge package seqnum 111065
Acknowledge package seqnum 119065
Acknowledge package seqnum 127065
Acknowledge package seqnum 135065
Acknowledge package seqnum 143065
Acknowledge package seqnum 151065
Acknowledge package seqnum 159065
Acknowledge package seqnum 167065
Acknowledge package seqnum 175065
Acknowledge package seqnum 183065
Acknowledge package seqnum 191065
Acknowledge package seqnum 199065
Acknowledge package seqnum 207065
Acknowledge package seqnum 215065
Acknowledge package seqnum 223065
Acknowledge package seqnum 231065
Acknowledge package seqnum 239065
Acknowledge package seqnum 247065
Acknowledge package seqnum 255065
Acknowledge package seqnum 263065
Acknowledge package seqnum 271065
Acknowledge package seqnum 279065
Acknowledge package seqnum 287065
Acknowledge package seqnum 295065
Acknowledge package seqnum 303065
Acknowledge package seqnum 311065
Acknowledge package seqnum 319065
Acknowledge package seqnum 327065
Acknowledge package seqnum 335065
Acknowledge package seqnum 343065
Acknowledge package seqnum 351065
Acknowledge package seqnum 359065
Acknowledge package seqnum 367065
Acknowledge package seqnum 375065
Acknowledge package seqnum 383065
Acknowledge package seqnum 391065
Acknowledge package seqnum 399065
Acknowledge package seqnum 407065
Acknowledge package seqnum 415065
Acknowledge package seqnum 423065
Acknowledge package seqnum 431065
Acknowledge package seqnum 439065
Acknowledge package seqnum 447065
Acknowledge package seqnum 455065
Acknowledge package seqnum 463065
Acknowledge package seqnum 471065
Acknowledge package seqnum 479065
Acknowledge package seqnum 487065
Acknowledge package seqnum 495065
Acknowledge package seqnum 503065
Acknowledge package seqnum 511065
Acknowledge package seqnum 519065
Acknowledge package seqnum 527065
Acknowledge package seqnum 535065
Acknowledge package seqnum 543065
Acknowledge package seqnum 551065
Acknowledge package seqnum 559065
Acknowledge package seqnum 567065
Acknowledge package seqnum 575065
Acknowledge package seqnum 583065
Acknowledge package seqnum 591065
Acknowledge package seqnum 599065
Acknowledge package seqnum 607065
Acknowledge package seqnum 615065
Acknowledge package seqnum 623065
Acknowledge package seqnum 631065
Acknowledge package seqnum 639065
Acknowledge package seqnum 647065
Acknowledge package seqnum 655065
Acknowledge package seqnum 663065
Acknowledge package seqnum 671065
Acknowledge package seqnum 679065
Acknowledge package seqnum 687065
Acknowledge package seqnum 695065
Acknowledge package seqnum 703065
Acknowledge package seqnum 711065
Acknowledge package seqnum 719065
Acknowledge package seqnum 727065
Acknowledge package seqnum 735065
Acknowledge package seqnum 743065
Acknowledge package seqnum 751065
Acknowledge package seqnum 759065
Acknowledge package seqnum 767065
Acknowledge package seqnum 775065
Acknowledge package seqnum 783065
Acknowledge package seqnum 791065
Acknowledge package seqnum 799065
Acknowledge package seqnum 807065
Acknowledge package seqnum 815065
Acknowledge package seqnum 823065
Acknowledge package seqnum 831065
Acknowledge package seqnum 839065
Acknowledge package seqnum 847065
Acknowledge package seqnum 855065
Acknowledge package seqnum 863065
Acknowledge package seqnum 871065
Acknowledge package seqnum 879065
Acknowledge package seqnum 887065
Acknowledge package seqnum 895065
Acknowledge package seqnum 903065
